Business / Practice Name,Dentist / Owner Name,Specialty,Phone Number,Email Address,Full Address,City,State/Region,Country,Google Maps URL,Existing Website URL,Website Status,Website Quality Notes,Instagram URL,Facebook URL,Lead Source,Lead Score,Reason for Score,Outreach Status,Notes
Family Dentistry Tampa FL,Dr. Rebecca E. Benedict offers family dentistry for both kids and adults in Tampa,Pediatric Dentistry,813-590-6649,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Family%20Dentistry%20Tampa%20FL%20Tampa%20FL,https://www.historichydeparkdentistry.com/dental-services/general-dentistry/family-dentistry/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,95,+50: No Website (Primary Target) | +20: Independent Local Practice | +15: Public Phone Number Available | +10: Doctor Identified (Dr. Rebecca E. Benedict offers family dentistry for both kids and adults in Tampa),New,Scraped via Public Web Search
"Dentist in Tampa FL, Family and Cosmetic Dentistry 33615",N/A (Public record not listed),Cosmetic Dentistry,813-243-4142,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Dentist%20in%20Tampa%20FL%2C%20Family%20and%20Cosmetic%20Dentistry%2033615%20Tampa%20FL,https://www.westwatersfamilydentistry.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,85,+50: No Website (Primary Target) | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
Amberly Family Dentistry,N/A (Public record not listed),General Dentistry,813-910-3333,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Amberly%20Family%20Dentistry%20Tampa%20FL,https://www.amberlydentaltampa.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,85,+50: No Website (Primary Target) | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
Radiance Orthodontics,Dr. Jureyda of Radiance Orthodontics is your Tampa,Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Radiance%20Orthodontics%20Tampa%20FL,https://www.myradiancebraces.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,80,+50: No Website (Primary Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. Jureyda of Radiance Orthodontics is your Tampa),New,Scraped via Public Web Search
"Community Orthodontist in Tampa, FL for Kids, Teens & ...",Dr. Clayton McEntire and Dr. Rick Escobar,Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Community%20Orthodontist%20in%20Tampa%2C%20FL%20for%20Kids%2C%20Teens%20%26%20...%20Tampa%20FL,https://www.amley-mcentire.com/orthodontist-tampa-fl/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,80,+50: No Website (Primary Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. Clayton McEntire and Dr. Rick Escobar),New,Scraped via Public Web Search
Orthodontist Tampa Invisalign Braces,Dr. Mann at Mann Orthodontics offers expert orthodontic care with braces and Invisalign in Tampa,Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Orthodontist%20Tampa%20Invisalign%20Braces%20Tampa%20FL,https://mannmadesmiles.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,80,+50: No Website (Primary Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. Mann at Mann Orthodontics offers expert orthodontic care with braces and Invisalign in Tampa),New,Scraped via Public Web Search
Orthodontics in Tampa FL,Dr. Chin when they want the best for their smile. Our team uses a people-centered orientation to deliver expert orthodontia care for radiant smiles and straighter teeth.,Orthodontics,(813) 264-7006,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Orthodontics%20in%20Tampa%20FL%20Tampa%20FL,https://floridaorthodontic.com/,Poor/Outdated Website,HTTP Error Status 403,,,Public Web Search,80,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +15: Public Phone Number Available | +10: Doctor Identified (Dr. Chin when they want the best for their smile. Our team uses a people-centered orientation to deliver expert orthodontia care for radiant smiles and straighter teeth.),New,Scraped via Public Web Search
Perez Orthodontics,Dr. Barbara Perez of Perez Orthodontics offers orthodontic treatment including Invisalign,Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Perez%20Orthodontics%20Tampa%20FL,https://www.perezorthodontics.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,80,+50: No Website (Primary Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. Barbara Perez of Perez Orthodontics offers orthodontic treatment including Invisalign),New,Scraped via Public Web Search
Tampa Smiles,Dr. John Cannariato,General Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tampa%20Smiles%20Tampa%20FL,https://www.southtampasmiles.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,80,+50: No Website (Primary Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. John Cannariato),New,Scraped via Public Web Search
Top 10 Best Orthodontist in Tampa Florida (2026 Review),N/A (Public record not listed),Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Top%2010%20Best%20Orthodontist%20in%20Tampa%20Florida%20%282026%20Review%29%20Tampa%20FL,https://smyleee.com/top-10/top-10-best-orthodontist-in-tampa-florida,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Tampa Dentist,N/A (Public record not listed),General Dentistry,(813) 701-3088,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tampa%20Dentist%20Tampa%20FL,https://www.adc-fl.com/dentist-office/tampa-fl-33614,Poor/Outdated Website,Slow page load time (4.5s),,,Public Web Search,70,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
Orthodontic Specialists of Florida,N/A (Public record not listed),Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Orthodontic%20Specialists%20of%20Florida%20Tampa%20FL,https://www.fla4braces.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Homepage,N/A (Public record not listed),Cosmetic Dentistry,813-229-8090,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Homepage%20Tampa%20FL,https://ferraradentaltampa.com/,Poor/Outdated Website,Slow page load time (6.7s),,,Public Web Search,70,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +15: Public Phone Number Available,New,Scraped via Public Web Search
"3 Best Orthodontists in Tampa, FL",N/A (Public record not listed),Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=3%20Best%20Orthodontists%20in%20Tampa%2C%20FL%20Tampa%20FL,https://threebestrated.com/orthodontists-in-tampa-fl,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Tampa: Orthodontists,N/A (Public record not listed),Orthodontics,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Tampa%3A%20Orthodontists%20Tampa%20FL,https://fun4tampakids.com/Health-Resources/Orthodontists/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"Family Dentist in Tampa, FL",N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Tampa, FL",Tampa,FL,USA,https://www.google.com/maps/search/?api=1&query=Family%20Dentist%20in%20Tampa%2C%20FL%20Tampa%20FL,https://www.precioussmilesfd.com/,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
