Business / Practice Name,Dentist / Owner Name,Specialty,Phone Number,Email Address,Full Address,City,State/Region,Country,Google Maps URL,Existing Website URL,Website Status,Website Quality Notes,Instagram URL,Facebook URL,Lead Source,Lead Score,Reason for Score,Outreach Status,Notes
"Cosmetic Dentist Austin, TX",Dr. Mark Sweeney has been practicing as a cosmetic dentist since,Cosmetic Dentistry,512-329-5967,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Cosmetic%20Dentist%20Austin%2C%20TX%20Austin%20TX,https://www.austindentalspa.com/cosmetic-dentist/dr-sweeney-austin-tx/,Poor/Outdated Website,Outdated copyright year (2013),,,Public Web Search,80,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +15: Public Phone Number Available | +10: Doctor Identified (Dr. Mark Sweeney has been practicing as a cosmetic dentist since),New,Scraped via Public Web Search
Austin Family Dentistry,Dr. Ramiro Ganesh and his dedicated team will always listen to your needs,Pediatric Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Austin%20Family%20Dentistry%20Austin%20TX,https://www.micasafamilydentistry.com/,No Website,Dead/Parked Domain ('coming soon' found),,,Public Web Search,80,+50: No Website (Primary Target) | +20: Independent Local Practice | +10: Doctor Identified (Dr. Ramiro Ganesh and his dedicated team will always listen to your needs),New,Scraped via Public Web Search
Austin Dentist,"Austin Dentist Logan Miller, DDS",Cosmetic Dentistry,512-458-3111,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Austin%20Dentist%20Austin%20TX,https://northaustindentist.com/,Poor/Outdated Website,Slow page load time (6.1s),,,Public Web Search,80,"+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice | +15: Public Phone Number Available | +10: Doctor Identified (Austin Dentist Logan Miller, DDS)",New,Scraped via Public Web Search
Home,N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Home%20Austin%20TX,https://austinfamilydentist.com/,No Website,Dead/Parked Domain ('coming soon' found),,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"3 Best Cosmetic Dentists in Austin, TX",N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=3%20Best%20Cosmetic%20Dentists%20in%20Austin%2C%20TX%20Austin%20TX,https://threebestrated.com/cosmetic-dentists-in-austin-tx,No Website,Domain Inaccessible / Connection Refused,,,Public Web Search,70,+50: No Website (Primary Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Trusted Dentist in Austin TX for Family Care,N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Trusted%20Dentist%20in%20Austin%20TX%20for%20Family%20Care%20Austin%20TX,https://www.lifetimedental.com/,Poor/Outdated Website,HTTP Error Status 403,,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"Best Dentists Near Me in Austin, TX",N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Best%20Dentists%20Near%20Me%20in%20Austin%2C%20TX%20Austin%20TX,https://www.zocdoc.com/dentists/austin-221873pm,Poor/Outdated Website,HTTP Error Status 403,,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Family and Cosmetic Dental Care,N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Family%20and%20Cosmetic%20Dental%20Care%20Austin%20TX,https://theaustindentist.com/,Poor/Outdated Website,HTTP Error Status 418,,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
"Breeze Dental: Dentist Austin, TX",N/A (Public record not listed),General Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Breeze%20Dental%3A%20Dentist%20Austin%2C%20TX%20Austin%20TX,https://www.breezeoralcare.com/,Poor/Outdated Website,Slow page load time (11.0s),,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
Top,N/A (Public record not listed),Cosmetic Dentistry,N/A,N/A (Not publicly listed),"Austin, TX",Austin,TX,USA,https://www.google.com/maps/search/?api=1&query=Top%20Austin%20TX,https://southaustindentalassociates.com/,Poor/Outdated Website,Inaccessible: ('Connection broken: IncompleteRead(262 ,,,Public Web Search,55,+35: Poor/Outdated Website (Redesign Target) | +20: Independent Local Practice,New,Scraped via Public Web Search
